h,s,v,emotion,is_error
0.62,0.892,0.065,Fear,False
0.691,0.385,0.239,Sadness,False
0.05,0.956,0.313,Surprise,False
0.5,0.755,0.032,Fear,False
0.669,0.885,0.911,Surprise,False
0.257,0.976,0.868,Surprise,False
0.119,0.675,0.439,Surprise,False
0.599,0.536,0.504,Surprise,False
0.655,0.931,0.691,Surprise,False
0.867,0.658,0.103,Fear,False
0.609,0.564,0.939,Surprise,False
0.28,0.735,0.674,Surprise,False
0.422,0.279,0.968,Happiness,True
0.745,0.431,0.254,Surprise,False
0.937,0.07,0.255,Happiness,True
0.641,0.87,0.656,Surprise,False
0.25,0.291,0.094,Sadness,True
0.815,0.966,0.606,Surprise,False
0.493,0.866,0.838,Surprise,False
0.464,0.056,0.705,Happiness,True
0.23,0.475,0.177,Fear,False
0.909,0.91,0.406,Surprise,False
0.172,0.613,0.524,Surprise,False
0.792,0.853,0.957,Surprise,False
0.385,0.204,0.767,Fear,True
0.214,0.203,0.173,Fear,False
0.333,0.738,0.903,Surprise,False
0.181,0.783,0.894,Surprise,False
0.866,0.579,0.538,Happiness,True
0.625,0.114,0.901,Surprise,False
0.259,0.821,0.452,Surprise,False
0.941,0.133,0.878,Surprise,False
0.328,0.017,0.855,Surprise,False
0.827,0.064,0.074,Fear,False
0.625,0.586,0.738,Surprise,False
0.516,0.155,0.733,Surprise,False
0.797,0.004,0.365,Surprise,False
0.598,0.847,0.103,Sadness,True
0.539,0.729,0.043,Sadness,True
0.656,0.573,0.75,Surprise,False
0.43,0.78,0.678,Surprise,False
0.418,0.85,0.835,Surprise,False
0.679,0.69,0.18,Fear,False
0.594,0.009,0.463,Sadness,False
0.534,0.477,0.902,Surprise,False
0.84,0.569,0.308,Surprise,False
0.881,0.226,0.863,Surprise,False
0.638,0.863,0.133,Disgust,True
0.409,0.14,0.531,Surprise,False
0.672,0.769,0.173,Fear,False
0.668,0.251,0.799,Happiness,True
0.922,0.505,0.352,Surprise,False
0.414,0.502,0.118,Fear,False
0.507,0.246,0.133,Fear,False
0.756,0.015,0.018,Sadness,True
0.551,0.512,0.735,Surprise,False
0.606,0.616,0.672,Surprise,False
0.484,0.531,0.053,Fear,False
0.063,0.874,0.623,Surprise,False
0.055,0.59,0.541,Surprise,False
0.645,0.924,0.032,Fear,False
0.813,0.875,0.327,Surprise,False
0.979,0.748,0.318,Surprise,False
0.524,0.678,0.057,Fear,False
0.95,0.687,0.667,Surprise,False
0.682,0.054,0.416,Sadness,False
0.418,0.509,0.496,Surprise,False
0.662,0.283,0.849,Surprise,False
0.138,0.004,0.427,Surprise,False
0.376,0.055,0.617,Surprise,False
0.189,0.589,0.412,Surprise,False
0.084,0.19,0.485,Surprise,False
0.78,0.097,0.092,Fear,False
0.868,0.652,0.4,Surprise,False
0.369,0.952,0.013,Fear,False
0.246,0.699,0.745,Surprise,False
0.962,0.083,0.057,Fear,False
0.281,0.396,0.413,Disgust,False
0.904,0.877,0.995,Surprise,False
0.174,0.099,0.638,Surprise,False
0.262,0.503,0.941,Surprise,False
0.733,0.313,0.843,Surprise,False
0.525,0.985,0.955,Surprise,False
0.39,0.166,0.169,Disgust,True
0.641,0.314,0.704,Surprise,False
0.474,0.955,0.444,Surprise,False
0.59,0.781,0.818,Surprise,False
0.019,0.162,0.001,Fear,False
0.006,0.007,0.625,Surprise,False
0.383,0.899,0.643,Surprise,False
0.896,0.672,0.021,Fear,False
0.42,0.178,0.834,Surprise,False
0.762,0.108,0.419,Surprise,False
0.341,0.042,0.189,Fear,False
0.794,0.723,0.87,Happiness,True
0.206,0.445,0.645,Disgust,False
0.806,0.631,0.378,Surprise,False
0.33,0.75,0.04,Fear,False
0.408,0.419,0.257,Surprise,False
0.752,0.37,0.91,Surprise,False
0.63,0.851,0.037,Fear,False
0.056,0.888,0.94,Surprise,False
0.563,0.391,0.874,Surprise,False
0.644,0.897,0.135,Fear,False
0.843,0.316,0.827,Surprise,False
0.115,0.307,0.874,Surprise,False
0.929,0.271,0.159,Fear,False
0.924,0.37,0.087,Fear,False
0.1,0.769,0.854,Happiness,False
0.638,0.792,0.465,Surprise,False
0.183,0.156,0.015,Disgust,True
0.69,0.418,0.262,Sadness,False
0.473,0.355,0.901,Surprise,False
0.578,0.228,0.112,Fear,False
0.318,0.545,0.01,Fear,False
0.346,0.128,0.122,Disgust,True
0.439,0.57,0.62,Surprise,False
0.8,0.697,0.183,Fear,False
0.278,0.898,0.737,Surprise,False
0.571,0.805,0.589,Surprise,False
0.812,0.073,0.447,Surprise,False
0.649,0.944,0.2,Fear,False
0.173,0.823,0.539,Surprise,False
0.965,0.9,0.832,Anger,False
0.241,0.164,0.125,Fear,False
0.128,0.242,0.412,Surprise,False
0.023,0.901,0.058,Fear,False
0.196,0.13,0.891,Surprise,False
0.755,0.499,0.065,Fear,False
0.228,0.098,0.031,Fear,False
0.171,0.823,0.347,Surprise,False
0.989,0.688,0.667,Surprise,False
0.715,0.31,0.178,Fear,False
0.182,0.69,0.83,Surprise,False
0.476,0.16,0.301,Surprise,False
0.89,0.136,0.381,Surprise,False
0.479,0.936,0.027,Fear,False
0.616,0.947,0.196,Fear,False
0.655,0.715,0.113,Fear,False
0.373,0.353,0.131,Fear,False
0.169,0.722,0.852,Happiness,False
0.179,0.679,0.746,Surprise,False
0.213,0.686,0.139,Fear,False
0.16,0.539,0.418,Fear,True
0.635,0.287,0.372,Sadness,False
0.532,0.606,0.754,Surprise,False
0.738,0.998,0.203,Surprise,False
0.947,0.853,0.246,Surprise,False
0.064,0.644,0.384,Surprise,False
0.729,0.416,0.478,Surprise,False
0.533,0.363,0.849,Surprise,False
0.855,0.783,0.811,Happiness,True
0.113,0.183,0.822,Surprise,False
0.676,0.008,0.978,Surprise,False
0.57,0.242,0.963,Happiness,True
0.149,0.931,0.261,Happiness,True
0.961,0.503,0.54,Surprise,False
0.667,0.645,0.29,Surprise,False
0.908,0.59,0.873,Surprise,False
0.967,0.795,0.635,Anger,False
0.141,0.171,0.93,Surprise,False
0.197,0.069,0.3,Surprise,False
0.598,0.027,0.22,Sadness,False
0.848,0.94,0.386,Surprise,False
0.731,0.767,0.599,Surprise,False
0.878,0.089,0.681,Fear,True
0.611,0.591,0.115,Disgust,True
0.501,0.843,0.439,Surprise,False
0.791,0.992,0.204,Surprise,False
0.331,0.06,0.097,Fear,False
0.049,0.977,0.654,Anger,False
0.809,0.24,0.364,Surprise,False
0.128,0.786,0.917,Happiness,False
0.726,0.491,0.457,Surprise,False
0.919,0.364,0.598,Surprise,False
0.581,0.577,0.115,Fear,False
0.166,0.552,0.411,Happiness,True
0.39,0.504,0.321,Disgust,False
0.96,0.391,0.357,Surprise,False
0.447,0.223,0.64,Surprise,False
0.435,0.133,0.981,Surprise,False
0.4,0.033,0.312,Surprise,False
0.515,0.85,0.652,Surprise,False
0.454,0.85,0.882,Surprise,False
0.616,0.508,0.57,Happiness,True
0.235,0.634,0.952,Surprise,False
0.631,0.577,0.973,Surprise,False
0.749,0.176,0.503,Surprise,False
0.675,0.606,0.835,Surprise,False
0.34,0.49,0.191,Fear,False
0.118,0.889,0.164,Fear,False
0.51,0.773,0.114,Fear,False
0.125,0.494,0.296,Surprise,False
0.336,0.294,0.274,Surprise,False
0.06,0.762,0.13,Fear,False
0.892,0.31,0.376,Surprise,False
0.351,0.184,0.231,Surprise,False
0.847,0.389,0.892,Surprise,False
0.753,0.526,0.208,Surprise,False
0.215,0.242,0.895,Surprise,False
0.768,0.245,0.142,Fear,False
0.91,0.019,0.574,Surprise,False
0.022,0.098,0.894,Surprise,False
0.901,0.432,0.445,Surprise,False
0.8,0.023,0.642,Surprise,False
0.23,0.484,0.287,Surprise,False
0.782,0.178,0.726,Surprise,False
0.975,0.424,0.934,Surprise,False
0.951,0.493,0.067,Fear,False
0.385,0.409,0.859,Surprise,False
0.994,0.811,0.846,Anger,False
0.418,0.844,0.409,Surprise,False
0.547,0.857,0.311,Happiness,True
0.12,0.563,0.8,Surprise,False
0.365,0.219,0.893,Surprise,False
0.933,0.152,0.238,Surprise,False
0.33,0.152,0.545,Surprise,False
0.096,0.778,0.988,Happiness,False
0.058,0.224,0.012,Fear,False
0.006,0.618,0.007,Fear,False
0.859,0.522,0.262,Surprise,False
0.159,0.201,0.524,Surprise,False
0.506,0.07,0.226,Surprise,False
0.875,0.8,0.068,Fear,False
0.619,0.621,0.111,Fear,False
0.966,0.751,0.704,Anger,False
0.681,0.094,0.424,Sadness,False
0.917,0.235,0.947,Surprise,False
0.679,0.568,0.706,Surprise,False
0.183,0.714,0.711,Surprise,False
0.679,0.849,0.168,Disgust,True
0.062,0.613,0.206,Surprise,False
0.973,0.636,0.164,Disgust,True
0.612,0.581,0.255,Surprise,False
0.283,0.664,0.413,Anger,True
0.806,0.996,0.78,Surprise,False
0.69,0.516,0.638,Surprise,False
0.66,0.527,0.687,Surprise,False
0.584,0.852,0.176,Fear,False
0.97,0.363,0.826,Surprise,False
0.237,0.261,0.497,Surprise,False
0.298,0.88,0.702,Surprise,False
0.487,0.449,0.62,Surprise,False
0.401,0.828,0.994,Surprise,False
0.935,0.332,0.437,Surprise,False
0.353,0.776,0.077,Fear,False
0.081,0.02,0.135,Fear,False
0.957,0.32,0.099,Fear,False
0.848,0.222,0.822,Surprise,False
0.487,0.468,0.158,Disgust,True
0.263,0.478,0.192,Fear,False
0.281,0.672,0.114,Fear,False
0.601,0.767,0.766,Happiness,True
0.528,0.834,0.261,Surprise,False
0.667,0.145,0.249,Sadness,False
0.643,0.498,0.425,Sadness,False
0.375,0.154,0.523,Surprise,False
0.203,0.905,0.223,Happiness,True
0.379,0.118,0.52,Surprise,False
0.684,0.628,0.178,Fear,False
0.956,0.587,0.264,Surprise,False
0.33,0.702,0.282,Fear,True
0.781,0.327,0.998,Happiness,True
0.907,0.294,0.229,Surprise,False
0.414,0.301,0.689,Disgust,False
0.858,0.51,0.987,Happiness,True
0.472,0.398,0.825,Surprise,False
0.729,0.856,0.098,Fear,False
0.472,0.769,0.172,Sadness,True
0.986,0.042,0.61,Surprise,False
0.545,0.044,0.296,Surprise,False
0.679,0.082,0.574,Sadness,False
0.319,0.081,0.308,Fear,True
0.501,0.72,0.624,Surprise,False
0.657,0.336,0.363,Sadness,False
0.45,0.24,0.63,Surprise,False
0.219,0.045,0.735,Surprise,False
0.309,0.464,0.229,Surprise,False
0.645,0.713,0.218,Surprise,False
0.455,0.26,0.708,Surprise,False
0.796,0.147,0.393,Surprise,False
0.734,0.38,0.344,Surprise,False
0.131,0.44,0.735,Surprise,False
0.354,0.543,0.314,Disgust,False
0.045,0.762,0.341,Surprise,False
0.104,0.229,0.617,Surprise,False
0.138,0.589,0.587,Surprise,False
0.79,0.625,0.495,Surprise,False
0.571,0.25,0.327,Sadness,False
0.828,0.147,0.604,Surprise,False
0.619,0.916,0.152,Fear,False
0.879,0.585,0.473,Surprise,False
0.602,0.028,0.502,Sadness,False
0.884,0.152,0.746,Surprise,False
0.552,0.525,0.061,Fear,False
0.602,0.698,0.52,Happiness,True
0.474,0.663,0.077,Fear,False
0.527,0.54,0.995,Surprise,False
0.772,0.114,0.338,Surprise,False
0.556,0.552,0.998,Surprise,False
0.588,0.621,0.344,Surprise,False
0.905,0.93,0.421,Surprise,False
0.866,0.869,0.123,Fear,False
0.643,0.336,0.394,Sadness,False
0.085,0.525,0.607,Surprise,False
0.924,0.504,0.236,Surprise,False
0.047,0.666,0.787,Surprise,False
0.756,0.913,0.364,Surprise,False
0.477,0.12,0.28,Surprise,False
0.865,0.733,0.684,Surprise,False
0.133,0.01,0.306,Surprise,False
0.845,0.887,0.972,Surprise,False
0.876,0.764,0.145,Fear,False
0.958,0.889,0.5,Surprise,False
0.74,0.49,0.287,Surprise,False
0.707,0.915,0.036,Fear,False
0.397,0.733,0.153,Fear,False
0.901,0.07,0.19,Sadness,True
0.483,0.055,0.66,Surprise,False
0.956,0.504,0.515,Surprise,False
0.71,0.902,0.605,Fear,True
0.109,0.403,0.135,Fear,False
0.91,0.59,0.919,Surprise,False
0.713,0.186,0.388,Sadness,False
0.309,0.536,0.6,Disgust,False
0.17,0.331,0.265,Surprise,False
0.571,0.139,0.606,Surprise,False
0.223,0.604,0.945,Surprise,False
0.414,0.447,0.336,Disgust,False
0.753,0.916,0.688,Surprise,False
0.032,0.571,0.171,Fear,False
0.099,0.854,0.355,Surprise,False
0.852,0.636,0.674,Surprise,False
0.478,0.611,0.262,Happiness,True
0.241,0.833,0.657,Surprise,False
0.361,0.076,0.788,Surprise,False
0.127,0.176,0.664,Surprise,False
0.672,0.524,0.472,Surprise,False
0.497,0.295,0.736,Surprise,False
0.324,0.371,0.113,Fear,False
0.071,0.062,0.056,Fear,False
0.107,0.137,0.927,Surprise,False
0.394,0.013,0.057,Fear,False
0.725,0.92,0.892,Fear,True
0.385,0.775,0.866,Surprise,False
0.863,0.981,0.463,Surprise,False
0.905,0.953,0.67,Surprise,False
0.447,0.924,0.848,Surprise,False
0.579,0.579,0.136,Fear,False
0.48,0.182,0.172,Fear,False
0.286,0.091,0.17,Fear,False
0.495,0.146,0.689,Fear,True
0.413,0.122,0.219,Fear,True
0.526,0.248,0.484,Surprise,False
0.221,0.843,0.766,Surprise,False
0.379,0.668,0.98,Surprise,False
0.866,0.836,0.644,Surprise,False
0.637,0.348,0.647,Surprise,False
0.299,0.238,0.935,Surprise,False
0.559,0.82,0.501,Surprise,False
0.032,0.406,0.358,Surprise,False
0.522,0.104,0.466,Surprise,False
0.455,0.543,0.017,Fear,False
0.182,0.591,0.617,Surprise,False
0.084,0.397,0.477,Surprise,False
0.508,0.013,0.624,Surprise,False
0.593,0.382,0.649,Surprise,False
0.727,0.144,0.467,Surprise,False
0.887,0.556,0.668,Surprise,False
0.503,0.371,0.279,Surprise,False
0.885,0.517,0.278,Fear,True
0.311,0.751,0.879,Surprise,False
0.235,0.069,0.884,Surprise,False
0.117,0.127,0.85,Surprise,False
0.429,0.935,0.823,Surprise,False
0.749,0.276,0.152,Sadness,True
0.627,0.209,0.019,Fear,False
0.553,0.853,0.407,Surprise,False
0.671,0.937,0.872,Surprise,False
0.999,0.223,0.018,Fear,False
0.929,0.06,0.464,Surprise,False
0.104,0.189,0.794,Surprise,False
0.329,0.208,0.317,Happiness,True
0.925,0.861,0.375,Surprise,False
0.529,0.646,0.864,Surprise,False
0.492,0.044,0.219,Surprise,False
0.307,0.623,0.288,Surprise,False
0.582,0.741,0.557,Surprise,False
0.907,0.453,0.275,Surprise,False
0.122,0.258,0.518,Surprise,False
0.857,0.599,0.889,Happiness,True
0.56,0.143,0.881,Surprise,False
0.436,0.443,0.845,Surprise,False
0.438,0.809,0.115,Fear,False
0.268,0.685,0.773,Surprise,False
0.356,0.549,0.021,Sadness,True
0.727,0.968,0.237,Surprise,False
0.744,0.215,0.494,Surprise,False
0.093,0.73,0.159,Fear,False
0.93,0.396,0.474,Surprise,False
0.615,0.211,0.159,Fear,False
0.745,0.759,0.317,Surprise,False
0.955,0.134,0.91,Fear,True
0.636,0.932,0.37,Surprise,False
0.34,0.338,0.033,Fear,False
0.096,0.303,0.637,Surprise,False
0.741,0.448,0.442,Surprise,False
0.094,0.346,0.761,Surprise,False
0.112,0.027,0.878,Surprise,False
0.545,0.197,0.442,Surprise,False
0.046,0.433,0.23,Fear,True
0.045,0.231,0.155,Fear,False
0.479,0.033,0.438,Fear,True
0.94,0.779,0.649,Surprise,False
0.843,0.059,0.179,Fear,False
0.553,0.989,0.537,Surprise,False
0.155,0.314,0.121,Sadness,True
0.522,0.586,0.871,Happiness,True
0.609,0.326,0.911,Fear,True
0.056,0.856,0.578,Surprise,False
0.588,0.984,0.414,Surprise,False
0.275,0.219,0.988,Surprise,False
0.692,0.543,0.999,Surprise,False
0.789,0.208,0.982,Surprise,False
0.944,0.045,0.515,Surprise,False
0.581,0.743,0.961,Surprise,False
0.561,0.517,0.355,Surprise,False
0.308,0.521,0.409,Disgust,False
0.474,0.819,0.356,Surprise,False
0.706,0.323,0.783,Fear,True
0.155,0.588,0.955,Surprise,False
0.962,0.167,0.36,Surprise,False
0.364,0.875,0.871,Surprise,False
0.451,0.283,0.487,Surprise,False
0.031,0.92,0.511,Surprise,False
0.9,0.631,0.383,Surprise,False
0.488,0.999,0.253,Surprise,False
0.641,0.137,0.806,Surprise,False
0.505,0.333,0.028,Fear,False
0.027,0.876,0.52,Surprise,False
0.594,0.382,0.681,Surprise,False
0.6,0.595,0.704,Surprise,False
0.939,0.767,0.678,Surprise,False
0.4,0.997,0.989,Surprise,False
0.225,0.275,0.528,Surprise,False
0.789,0.18,0.949,Surprise,False
0.902,0.399,0.224,Happiness,True
0.285,0.119,0.058,Fear,False
0.585,0.534,0.284,Surprise,False
0.347,0.902,0.271,Surprise,False
0.584,0.701,0.993,Surprise,False
0.061,0.035,0.831,Surprise,False
0.65,0.383,0.333,Sadness,False
0.44,0.541,0.224,Surprise,False
0.325,0.085,0.336,Surprise,False
0.235,0.312,0.499,Disgust,False
0.76,0.652,0.743,Surprise,False
0.77,0.534,0.987,Surprise,False
0.686,0.87,0.136,Fear,False
0.957,0.655,0.728,Surprise,False
0.129,0.093,0.648,Surprise,False
0.202,0.558,0.588,Disgust,False
0.857,0.622,0.578,Surprise,False
0.999,0.965,0.73,Anger,False
0.855,0.412,0.266,Surprise,False
0.709,0.758,0.311,Surprise,False
0.467,0.188,0.779,Surprise,False
0.426,0.742,0.778,Surprise,False
0.595,0.351,0.843,Happiness,True
0.275,0.047,0.968,Happiness,True
0.732,0.244,0.167,Fear,False
0.753,0.944,0.782,Surprise,False
0.818,0.086,0.233,Surprise,False
0.467,0.315,0.685,Surprise,False
0.591,0.401,0.22,Sadness,False
0.152,0.253,0.338,Surprise,False
0.481,0.394,0.344,Surprise,False
0.965,0.857,0.505,Surprise,False
0.687,0.592,0.969,Surprise,False
0.489,0.878,0.276,Surprise,False
0.199,0.483,0.436,Sadness,True
0.164,0.669,0.498,Surprise,False
0.229,0.565,0.654,Anger,True
0.954,0.44,0.12,Fear,False
0.493,0.768,0.362,Surprise,False
0.888,0.818,0.303,Fear,True
0.532,0.505,0.226,Surprise,False
0.988,0.546,0.982,Surprise,False
0.083,0.88,0.365,Surprise,False
0.713,0.225,0.09,Fear,False
0.488,0.495,0.941,Fear,True
0.455,0.712,0.954,Surprise,False
0.527,0.298,0.331,Happiness,True
0.47,0.803,0.021,Disgust,True
0.447,0.812,0.512,Surprise,False
0.446,0.043,0.501,Happiness,True
0.045,0.536,0.27,Happiness,True
0.008,0.849,0.662,Anger,False
0.311,0.542,0.435,Disgust,False
0.179,0.382,0.486,Surprise,False
0.824,0.725,0.476,Surprise,False
0.698,0.177,0.903,Happiness,True
0.926,0.167,0.139,Fear,False
0.343,0.011,0.886,Surprise,False
0.052,0.839,0.599,Surprise,False
0.292,0.083,0.382,Surprise,False
0.965,0.468,0.315,Surprise,False
0.675,0.067,0.673,Surprise,False
0.786,0.852,0.974,Surprise,False
0.855,0.237,0.25,Surprise,False
0.717,0.689,0.805,Surprise,False
0.228,0.727,0.0,Fear,False
0.667,0.576,0.308,Happiness,True
0.857,0.232,0.841,Surprise,False
0.787,0.741,0.285,Surprise,False
0.931,0.62,0.354,Fear,True
0.657,0.627,0.733,Surprise,False
0.074,0.581,0.586,Surprise,False
0.296,0.379,0.109,Fear,False
0.893,0.397,0.968,Surprise,False
0.519,0.188,0.953,Surprise,False
0.331,0.742,0.937,Fear,True
0.338,0.213,0.777,Surprise,False
0.304,0.032,0.215,Surprise,False
0.844,0.898,0.405,Surprise,False
0.354,0.82,0.034,Fear,False
0.586,0.342,0.39,Sadness,False
0.743,0.032,0.365,Surprise,False
0.783,0.874,0.567,Surprise,False
0.017,0.951,0.306,Surprise,False
0.59,0.486,0.898,Surprise,False
0.407,0.189,0.696,Surprise,False
0.776,0.926,0.54,Surprise,False
0.432,0.254,0.388,Surprise,False
0.183,0.718,0.504,Surprise,False
0.597,0.65,0.481,Surprise,False
0.636,0.022,0.297,Sadness,False
0.757,0.963,0.213,Surprise,False
0.124,0.44,0.969,Surprise,False
0.594,0.247,0.846,Surprise,False
0.339,0.665,0.352,Disgust,False
0.125,0.884,0.54,Surprise,False
0.723,0.329,0.569,Surprise,False
0.757,0.266,0.632,Surprise,False
0.908,0.795,0.213,Surprise,False
0.192,0.91,0.752,Happiness,True
0.962,0.621,0.814,Surprise,False
0.322,0.739,0.562,Surprise,False
0.859,0.632,0.558,Surprise,False
0.873,0.312,0.423,Surprise,False
0.672,0.342,0.378,Sadness,False
0.724,0.3,0.838,Surprise,False
0.79,0.739,0.053,Fear,False
0.681,0.418,0.657,Surprise,False
0.117,0.506,0.211,Surprise,False
0.433,0.264,0.178,Fear,False
0.863,0.528,0.325,Surprise,False
0.055,0.93,0.677,Anger,False
0.928,0.891,0.611,Surprise,False
0.59,0.631,0.934,Surprise,False
0.789,0.16,0.22,Surprise,False
0.742,0.95,0.165,Sadness,True
0.283,0.315,0.508,Sadness,True
0.708,0.849,0.694,Surprise,False
0.473,0.308,0.915,Surprise,False
0.316,0.44,0.644,Disgust,False
0.972,0.049,0.658,Surprise,False
0.823,0.279,0.31,Fear,True
0.148,0.56,0.047,Fear,False
0.325,0.235,0.373,Surprise,False
0.472,0.917,0.473,Happiness,True
0.324,0.117,0.703,Surprise,False
0.424,0.969,0.665,Surprise,False
0.597,0.382,0.847,Surprise,False
0.953,0.323,0.192,Fear,False
0.088,0.68,0.599,Surprise,False
0.836,0.361,0.001,Fear,False
0.784,0.446,0.194,Fear,False
0.916,0.038,0.131,Disgust,True
0.078,0.18,0.234,Surprise,False
0.033,0.228,0.217,Surprise,False
0.17,0.391,0.078,Fear,False
0.318,0.024,0.269,Surprise,False
0.589,0.623,0.18,Fear,False
0.728,0.052,0.83,Surprise,False
0.582,0.432,0.648,Surprise,False
0.743,0.123,0.841,Surprise,False
0.99,0.784,0.246,Surprise,False
0.069,0.193,0.183,Fear,False
0.493,0.727,0.994,Surprise,False
0.98,0.352,0.707,Surprise,False
0.273,0.236,0.346,Surprise,False
0.857,0.959,0.859,Surprise,False
0.95,0.922,0.03,Fear,False
0.881,0.239,0.534,Surprise,False
0.752,0.423,0.016,Fear,False
0.396,0.866,0.026,Fear,False
0.257,0.357,0.194,Fear,False
0.67,0.559,0.872,Surprise,False
0.263,0.985,0.489,Happiness,True
0.595,0.715,0.702,Surprise,False
0.675,0.044,0.79,Surprise,False
0.646,0.769,0.805,Surprise,False
0.43,0.158,0.422,Surprise,False
0.58,0.758,0.018,Fear,False
0.395,0.53,0.391,Disgust,False
0.626,0.007,0.078,Fear,False
0.507,0.438,0.815,Surprise,False
0.13,0.597,0.073,Fear,False
0.754,0.44,0.425,Surprise,False
0.767,0.839,0.868,Surprise,False
0.172,0.706,0.565,Surprise,False
0.412,0.64,0.984,Surprise,False
0.621,0.979,0.431,Surprise,False
0.967,0.72,0.2,Fear,False
0.191,0.315,0.778,Surprise,False
0.775,0.82,0.407,Surprise,False
0.746,0.839,0.868,Surprise,False
0.816,0.758,0.096,Fear,False
0.871,0.196,0.407,Surprise,False
0.709,0.374,0.043,Fear,False
0.315,0.904,0.865,Surprise,False
0.399,0.937,0.886,Surprise,False
0.043,0.078,0.441,Surprise,False
0.367,0.338,0.509,Disgust,False
0.404,0.871,0.863,Surprise,False
0.237,0.617,0.684,Disgust,False
0.32,0.846,0.893,Surprise,False
0.465,0.953,0.435,Fear,True
0.996,0.276,0.03,Fear,False
0.116,0.293,0.811,Surprise,False
0.228,0.41,0.631,Disgust,False
0.638,0.426,0.887,Surprise,False
0.867,0.197,0.677,Happiness,True
0.494,0.449,0.142,Fear,False
0.96,0.192,0.4,Surprise,False
0.781,0.462,0.216,Surprise,False
0.83,0.542,0.51,Surprise,False
0.035,0.737,0.787,Anger,False
0.047,0.027,0.131,Fear,False
0.722,0.597,0.15,Fear,False
0.29,0.676,0.421,Anger,True
0.023,0.09,0.149,Fear,False
0.973,0.354,0.085,Fear,False
0.563,0.508,0.131,Fear,False
0.239,0.184,0.024,Fear,False
0.68,0.092,0.73,Surprise,False
0.283,0.429,0.584,Disgust,False
0.747,0.974,0.613,Surprise,False
0.514,0.95,0.432,Happiness,True
0.985,0.184,0.453,Surprise,False
0.45,0.177,0.254,Surprise,False
0.775,0.575,0.854,Surprise,False
0.805,0.466,0.965,Surprise,False
0.855,0.952,0.1,Fear,False
0.906,0.865,0.882,Surprise,False
0.103,0.738,0.08,Fear,False
0.523,0.672,0.864,Surprise,False
0.165,0.686,0.783,Surprise,False
0.625,0.801,0.774,Surprise,False
0.958,0.466,0.477,Surprise,False
0.31,0.533,0.292,Surprise,False
0.773,0.916,0.197,Fear,False
0.183,0.487,0.452,Surprise,False
0.069,0.791,0.658,Surprise,False
0.323,0.742,0.707,Surprise,False
0.964,0.985,0.477,Happiness,True
0.772,0.051,0.339,Surprise,False
0.567,0.872,0.183,Fear,False
0.644,0.407,0.694,Surprise,False
0.039,0.156,0.477,Surprise,False
0.393,0.847,0.628,Happiness,True
0.741,0.598,0.53,Surprise,False
0.143,0.635,0.055,Fear,False
0.127,0.785,0.745,Happiness,False
0.634,0.898,0.056,Fear,False
0.882,0.747,0.555,Surprise,False
0.937,0.817,0.444,Surprise,False
0.72,0.695,0.437,Surprise,False
0.151,0.409,0.135,Disgust,True
0.224,0.724,0.537,Surprise,False
0.961,0.593,0.93,Surprise,False
0.159,0.363,0.202,Surprise,False
0.839,0.564,0.474,Surprise,False
0.399,0.429,0.989,Surprise,False
0.636,0.724,0.587,Surprise,False
0.826,0.512,0.455,Surprise,False
0.623,0.943,0.254,Surprise,False
0.773,0.13,0.275,Surprise,False
0.987,0.687,0.604,Surprise,False
0.88,0.963,0.151,Disgust,True
0.527,0.221,0.678,Surprise,False
0.792,0.154,0.325,Surprise,False
0.941,0.699,0.675,Surprise,False
0.794,0.254,0.792,Surprise,False
0.42,0.845,0.634,Surprise,False
0.033,0.447,0.627,Surprise,False
0.879,0.364,0.192,Fear,False
0.631,0.013,0.326,Fear,True
0.371,0.757,0.966,Surprise,False
0.017,0.312,0.656,Surprise,False
0.624,0.352,0.646,Surprise,False
0.151,0.764,0.868,Happiness,False
0.578,0.764,0.419,Surprise,False
0.7,0.963,0.16,Fear,False
0.176,0.725,0.705,Happiness,False
0.177,0.101,0.227,Surprise,False
0.422,0.741,0.334,Surprise,False
0.488,0.605,0.595,Surprise,False
0.733,0.115,0.65,Surprise,False
0.774,0.858,0.477,Surprise,False
0.224,0.63,0.79,Surprise,False
0.566,0.281,0.631,Surprise,False
0.35,0.233,0.729,Surprise,False
0.604,0.313,0.754,Surprise,False
0.296,0.551,0.051,Fear,False
0.122,0.734,0.781,Happiness,False
0.693,0.042,0.447,Sadness,False
0.367,0.851,0.63,Surprise,False
0.831,0.895,0.191,Fear,False
0.255,0.997,0.834,Surprise,False
0.084,0.503,0.554,Surprise,False
0.82,0.967,0.934,Surprise,False
0.339,0.773,0.903,Surprise,False
0.238,0.065,0.636,Fear,True
0.846,0.969,0.955,Surprise,False
0.274,0.872,0.992,Surprise,False
0.624,0.119,0.994,Surprise,False
0.583,0.685,0.199,Fear,False
0.853,0.243,0.205,Surprise,False
0.25,0.476,0.801,Surprise,False
0.851,0.908,0.389,Surprise,False
0.869,0.282,0.354,Surprise,False
0.031,0.504,0.45,Surprise,False
0.08,0.55,0.021,Fear,False
0.293,0.92,0.414,Happiness,True
0.328,0.971,0.049,Fear,False
0.062,0.888,0.567,Surprise,False
0.14,0.624,0.796,Surprise,False
0.976,0.588,0.901,Surprise,False
0.377,0.389,0.975,Surprise,False
0.474,0.321,0.673,Fear,True
0.979,0.052,0.266,Surprise,False
0.234,0.869,0.395,Surprise,False
